  Z  CORE VAL  ION
  7.   2   1  0.000000
  
  
  
 THE FOLLOWING DATA IS THE MODIFIED HFS POTENTIAL, RV(R), GIVEN AT THE
 441 POINTS OF THE MESH, IN RYDBERG AUs, IDEALLY = -2Z U
  
  5.7368702E-01 5.6412709E-01 5.5469358E-01 5.4538339E-01 5.3619367E-01 Z  7  43
  5.2712184E-01 5.1816571E-01 5.0932348E-01 5.0059325E-01 4.9197379E-01 Z  7  44
  4.8346367E-01 4.7506189E-01 4.6676734E-01 4.5857918E-01 4.5049658E-01 Z  7  45
  4.4251883E-01 4.3464532E-01 4.2687538E-01 4.1920844E-01 4.1164395E-01 Z  7  46
  4.0418145E-01 3.9682034E-01 3.8956013E-01 3.8240045E-01 3.7534064E-01 Z  7  47
  3.6838025E-01 3.6151883E-01 3.5475582E-01 3.4809065E-01 3.4152284E-01 Z  7  48
  3.3505175E-01 3.2239756E-01 3.1012329E-01 2.9822373E-01 2.8669351E-01 Z  7  49
  2.7552682E-01 2.6471773E-01 2.5425994E-01 2.4414693E-01 2.3437192E-01 Z  7  50
  2.2492804E-01 2.1580812E-01 2.0700501E-01 1.9851124E-01 1.9031945E-01 Z  7  51
  1.8242204E-01 1.7481150E-01 1.6748017E-01 1.6042049E-01 1.5362485E-01 Z  7  52
  1.4708568E-01 1.4079550E-01 1.3474679E-01 1.2893224E-01 1.2334453E-01 Z  7  53
  1.1797647E-01 1.1282098E-01 1.0787107E-01 1.0311992E-01 9.8560795E-02 Z  7  54
  9.4187118E-02 8.9992449E-02 8.5970491E-02 8.2115084E-02 7.8420244E-02 Z  7  55
  7.4880116E-02 7.1489021E-02 6.8241388E-02 6.5131851E-02 6.2155176E-02 Z  7  56
  5.9306275E-02 5.3972255E-02 4.9092162E-02 4.4630732E-02 4.0554978E-02 Z  7  57
  3.6834113E-02 3.3439469E-02 3.0344380E-02 2.7524117E-02 2.4955753E-02 Z  7  58
  2.2618083E-02 2.0491503E-02 1.8557938E-02 1.6800720E-02 1.5204508E-02 Z  7  59
  1.3755199E-02 1.2439830E-02 1.1246511E-02 1.0164335E-02 9.1833146E-03 Z  7  60
  8.2943058E-03 7.4889422E-03 6.7595774E-03 6.0992287E-03 5.5015204E-03 Z  7  61
  4.9606347E-03 4.4712676E-03 4.0285843E-03 3.6281806E-03 3.2660447E-03 Z  7  62
  2.9385246E-03 2.6422951E-03 2.3743305E-03 2.1318777E-03 1.9124295E-03 Z  7  63
  1.7137044E-03 1.5336251E-03 1.3702981E-03 1.2219971E-03 1.0871459E-03 Z  7  64
  9.6430385E-04                                                         Z  7  65
1


 TOTAL CHARGE DENSITY OUTPUT


  0.0000000E+00 3.3855815E-03 1.3324767E-02 2.9499162E-02 5.1600683E-02 T  7   1
  7.9331353E-02 1.1240301E-01 1.5053703E-01 1.9346391E-01 2.4092351E-01 T  7   2
  2.9266417E-01 3.4844285E-01 4.0802491E-01 4.7118363E-01 5.3770041E-01 T  7   3
  6.0736394E-01 6.7997056E-01 7.5532377E-01 8.3323413E-01 9.1351861E-01 T  7   4
  9.9600172E-01 1.0805132E+00 1.1668900E+00 1.2549744E+00 1.3446157E+00 T  7   5
  1.4356673E+00 1.5279895E+00 1.6214467E+00 1.7159106E+00 1.8112555E+00 T  7   6
  1.9073623E+00 2.0041165E+00 2.1014071E+00 2.1991286E+00 2.2971795E+00 T  7   7
  2.3954632E+00 2.4938860E+00 2.5923598E+00 2.6907980E+00 2.7891200E+00 T  7   8
  2.8872473E+00 3.0826252E+00 3.2763767E+00 3.4679966E+00 3.6570270E+00 T  7   9
  3.8430567E+00 4.0257144E+00 4.2046700E+00 4.3796268E+00 4.5503244E+00 T  7  10
  4.7165327E+00 4.8780537E+00 5.0347128E+00 5.1863661E+00 5.3328891E+00 T  7  11
  5.4741821E+00 5.6101632E+00 5.7407756E+00 5.8659711E+00 5.9857259E+00 T  7  12
  6.1000252E+00 6.2088728E+00 6.3122816E+00 6.4102769E+00 6.5028949E+00 T  7  13
  6.5901804E+00 6.6721907E+00 6.7489862E+00 6.8206382E+00 6.8872213E+00 T  7  14
  6.9488201E+00 7.0055203E+00 7.0574136E+00 7.1045957E+00 7.1471691E+00 T  7  15
  7.1852322E+00 7.2188940E+00 7.2482591E+00 7.2734408E+00 7.2945457E+00 T  7  16
  7.3116879E+00 7.3345346E+00 7.3428898E+00 7.3376617E+00 7.3197522E+00 T  7  17
  7.2900553E+00 7.2494440E+00 7.1987777E+00 7.1388822E+00 7.0705667E+00 T  7  18
  6.9946070E+00 6.9117470E+00 6.8227029E+00 6.7281618E+00 6.6287742E+00 T  7  19
  6.5251584E+00 6.4179015E+00 6.3075581E+00 6.1946516E+00 6.0796738E+00 T  7  20
  5.9630871E+00 5.8453231E+00 5.7267847E+00 5.6078482E+00 5.4888606E+00 T  7  21
  5.3701448E+00 5.2520003E+00 5.1347013E+00 5.0184984E+00 4.9036217E+00 T  7  22
  4.7902803E+00 4.6786647E+00 4.5689454E+00 4.4612751E+00 4.3557911E+00 T  7  23
  4.2526150E+00 4.1518559E+00 4.0536036E+00 3.9579358E+00 3.8649211E+00 T  7  24
  3.7746148E+00 3.6023002E+00 3.4412346E+00 3.2915256E+00 3.1531615E+00 T  7  25
  3.0260305E+00 2.9099398E+00 2.8046219E+00 2.7097557E+00 2.6249738E+00 T  7  26
  2.5498714E+00 2.4840198E+00 2.4269676E+00 2.3782520E+00 2.3374038E+00 T  7  27
  2.3039496E+00 2.2774196E+00 2.2573478E+00 2.2432768E+00 2.2347603E+00 T  7  28
  2.2313633E+00 2.2326651E+00 2.2382593E+00 2.2477574E+00 2.2607858E+00 T  7  29
  2.2769876E+00 2.2960248E+00 2.3175747E+00 2.3413332E+00 2.3670120E+00 T  7  30
  2.3943405E+00 2.4230642E+00 2.4529443E+00 2.4837565E+00 2.5152936E+00 T  7  31
  2.5473607E+00 2.5797784E+00 2.6123796E+00 2.6450105E+00 2.6775286E+00 T  7  32
  2.7098033E+00 2.7731566E+00 2.8342385E+00 2.8923635E+00 2.9469833E+00 T  7  33
  2.9976654E+00 3.0440812E+00 3.0859945E+00 3.1232467E+00 3.1557472E+00 T  7  34
  3.1834643E+00 3.2064171E+00 3.2246644E+00 3.2383006E+00 3.2474489E+00 T  7  35
  3.2522573E+00 3.2528906E+00 3.2495275E+00 3.2423592E+00 3.2315836E+00 T  7  36
  3.2174034E+00 3.2000241E+00 3.1796520E+00 3.1564908E+00 3.1307433E+00 T  7  37
  3.1026075E+00 3.0722766E+00 3.0399401E+00 3.0057793E+00 2.9699683E+00 T  7  38
  2.9326777E+00 2.8940682E+00 2.8542919E+00 2.8134971E+00 2.7718213E+00 T  7  39
  2.7293963E+00 2.6863468E+00 2.6427884E+00 2.5988317E+00 2.5545790E+00 T  7  40
  2.5101261E+00 2.4209740E+00 2.3320167E+00 2.2438054E+00 2.1568067E+00 T  7  41
  2.0714118E+00 1.9879432E+00 1.9066609E+00 1.8277723E+00 1.7514369E+00 T  7  42
  1.6777725E+00 1.6068534E+00 1.5386426E+00 1.4730699E+00 1.4100616E+00 T  7  43
  1.3495429E+00 1.2914386E+00 1.2356737E+00 1.1821717E+00 1.1308587E+00 T  7  44
  1.0816593E+00 1.0345006E+00 9.8930931E-01 9.4601452E-01 9.0454602E-01 T  7  45
  8.6483508E-01 8.2681501E-01 7.9042041E-01 7.5558740E-01 7.2225440E-01 T  7  46
  6.9036150E-01 6.5984994E-01 6.3066375E-01 6.0274863E-01 5.7605153E-01 T  7  47
  5.5052167E-01 5.2611017E-01 5.0276971E-01 4.8045471E-01 4.5912153E-01 T  7  48
  4.3872783E-01 4.0059924E-01 3.6576426E-01 3.3394215E-01 3.0487520E-01 T  7  49
  2.7832630E-01 2.5407872E-01 2.3193353E-01 2.1170878E-01 1.9323808E-01 T  7  50
  1.7636944E-01 1.6096383E-01 1.4689450E-01 1.3404542E-01 1.2231097E-01 T  7  51
  1.1159446E-01 1.0180780E-01 9.2870504E-02 8.4709093E-02 7.7256508E-02 T  7  52
  7.0451483E-02 6.4238131E-02 5.8565311E-02 5.3386427E-02 4.8658837E-02 T  7  53
  4.4343606E-02 4.0405147E-02 3.6810938E-02 3.3531275E-02 3.0538982E-02 T  7  54
  2.7809234E-02 2.5319319E-02 2.3048492E-02 2.0977771E-02 1.9089814E-02 T  7  55
  1.7368756E-02 1.5800102E-02 1.4370579E-02 1.3068074E-02 1.1881505E-02 T  7  56
  1.0800738E-02 8.9203818E-03 7.3620807E-03 6.0716271E-03 5.0037806E-03 T  7  57
  4.1208053E-03 3.3912444E-03 2.7888967E-03 2.2919537E-03 1.8822748E-03 T  7  58
  1.5447862E-03 1.2669680E-03 1.0384349E-03 8.5057621E-04 6.9625967E-04 T  7  59
  5.6958292E-04 4.6566466E-04 3.8047184E-04 3.1067501E-04 2.5352760E-04 T  7  60
  2.0676595E-04 1.6852541E-04 1.3727148E-04 1.1174235E-04 9.0901056E-05 T  7  61
  7.3896037E-05 6.0028571E-05 4.8725648E-05 3.9517709E-05 3.2020205E-05 T  7  62
  2.5918418E-05 2.0954923E-05 1.6919306E-05 1.3639682E-05 1.0975707E-05 T  7  63
  8.8128754E-06 7.0578130E-06 5.6344238E-06 4.4807307E-06 3.5462915E-06 T  7  64
  2.7900880E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  65
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  66
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  67
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  68
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  69
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  70
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  71
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  72
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  73
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  74
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  75
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  76
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  77
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  78
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  79
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  80
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  81
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  82
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  83
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  84
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  85
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  86
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  87
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 T  7  88
  0.0000000E+00                                                         T  7  89
1


 CORE CHARGE DENSITY OUTPUT


  0.0000000E+00 3.3855811E-03 1.3324759E-02 2.9499119E-02 5.1600553E-02 C  7   1
  7.9331033E-02 1.1240236E-01 1.5053582E-01 1.9346187E-01 2.4092026E-01 C  7   2
  2.9265928E-01 3.4843573E-01 4.0801489E-01 4.7116995E-01 5.3768218E-01 C  7   3
  6.0734010E-01 6.7993993E-01 7.5528508E-01 8.3318585E-01 9.1345918E-01 C  7   4
  9.9592930E-01 1.0804260E+00 1.1667857E+00 1.2548507E+00 1.3444703E+00 C  7   5
  1.4354974E+00 1.5277923E+00 1.6212193E+00 1.7156495E+00 1.8109574E+00 C  7   6
  1.9070237E+00 2.0037334E+00 2.1009755E+00 2.1986444E+00 2.2966380E+00 C  7   7
  2.3948600E+00 2.4932160E+00 2.5916181E+00 2.6899793E+00 2.7882187E+00 C  7   8
  2.8862576E+00 3.0814409E+00 3.2749722E+00 3.4663446E+00 3.6550984E+00 C  7   9
  3.8408208E+00 4.0231390E+00 4.2017202E+00 4.3762674E+00 4.5465174E+00 C  7  10
  4.7122393E+00 4.8732324E+00 5.0293217E+00 5.1803603E+00 5.3262239E+00 C  7  11
  5.4668097E+00 5.6020350E+00 5.7318416E+00 5.8561797E+00 5.9750242E+00 C  7  12
  6.0883589E+00 6.1961865E+00 6.2985182E+00 6.3953786E+00 6.4868026E+00 C  7  13
  6.5728335E+00 6.6535277E+00 6.7289448E+00 6.7991548E+00 6.8642316E+00 C  7  14
  6.9242582E+00 6.9793205E+00 7.0295086E+00 7.0749178E+00 7.1156492E+00 C  7  15
  7.1518016E+00 7.1834822E+00 7.2107954E+00 7.2338543E+00 7.2527647E+00 C  7  16
  7.2676401E+00 7.2857351E+00 7.2890444E+00 7.2784743E+00 7.2549248E+00 C  7  17
  7.2192888E+00 7.1724381E+00 7.1152325E+00 7.0484982E+00 6.9730449E+00 C  7  18
  6.8896499E+00 6.7990599E+00 6.7019925E+00 6.5991378E+00 6.4911494E+00 C  7  19
  6.3786502E+00 6.2622299E+00 6.1424484E+00 6.0198331E+00 5.8948812E+00 C  7  20
  5.7680602E+00 5.6398072E+00 5.5105305E+00 5.3806124E+00 5.2504063E+00 C  7  21
  5.1202416E+00 4.9904237E+00 4.8612342E+00 4.7329297E+00 4.6057477E+00 C  7  22
  4.4799042E+00 4.3555965E+00 4.2330031E+00 4.1122832E+00 3.9935815E+00 C  7  23
  3.8770266E+00 3.7627358E+00 3.6508055E+00 3.5413210E+00 3.4343584E+00 C  7  24
  3.3299804E+00 3.1291792E+00 2.9392185E+00 2.7602632E+00 2.5923576E+00 C  7  25
  2.4354453E+00 2.2893872E+00 2.1539688E+00 2.0289192E+00 1.9139204E+00 C  7  26
  1.8086158E+00 1.7126215E+00 1.6255307E+00 1.5469232E+00 1.4763694E+00 C  7  27
  1.4134350E+00 1.3576865E+00 1.3086933E+00 1.2660308E+00 1.2292836E+00 C  7  28
  1.1980460E+00 1.1719255E+00 1.1505419E+00 1.1335297E+00 1.1205385E+00 C  7  29
  1.1112323E+00 1.1052920E+00 1.1024127E+00 1.1023059E+00 1.1046985E+00 C  7  30
  1.1093324E+00 1.1159647E+00 1.1243668E+00 1.1343241E+00 1.1456361E+00 C  7  31
  1.1581149E+00 1.1715860E+00 1.1858858E+00 1.2008642E+00 1.2163801E+00 C  7  32
  1.2323042E+00 1.2649089E+00 1.2978337E+00 1.3303696E+00 1.3619311E+00 C  7  33
  1.3920401E+00 1.4203125E+00 1.4464488E+00 1.4702209E+00 1.4914641E+00 C  7  34
  1.5100673E+00 1.5259663E+00 1.5391355E+00 1.5495821E+00 1.5573416E+00 C  7  35
  1.5624725E+00 1.5650511E+00 1.5651686E+00 1.5629286E+00 1.5584433E+00 C  7  36
  1.5518305E+00 1.5432134E+00 1.5327179E+00 1.5204700E+00 1.5065963E+00 C  7  37
  1.4912224E+00 1.4744701E+00 1.4564612E+00 1.4373120E+00 1.4171350E+00 C  7  38
  1.3960400E+00 1.3741302E+00 1.3515056E+00 1.3282611E+00 1.3044862E+00 C  7  39
  1.2802659E+00 1.2556808E+00 1.2308054E+00 1.2057109E+00 1.1804628E+00 C  7  40
  1.1551226E+00 1.1043901E+00 1.0539198E+00 1.0040565E+00 9.5508754E-01 C  7  41
  9.0725088E-01 8.6073738E-01 8.1569791E-01 7.7224731E-01 7.3046976E-01 C  7  42
  6.9042224E-01 6.5213525E-01 6.1558771E-01 5.8074087E-01 5.4755056E-01 C  7  43
  5.1597053E-01 4.8595145E-01 4.5744237E-01 4.3039092E-01 4.0474397E-01 C  7  44
  3.8044786E-01 3.5744911E-01 3.3569410E-01 3.1512985E-01 2.9570445E-01 C  7  45
  2.7736634E-01 2.6006535E-01 2.4375264E-01 2.2838026E-01 2.1390219E-01 C  7  46
  2.0027351E-01 1.8745081E-01 1.7539249E-01 1.6405834E-01 1.5340970E-01 C  7  47
  1.4340964E-01 1.3402261E-01 1.2521464E-01 1.1695340E-01 1.0920796E-01 C  7  48
  1.0194883E-01 8.8778690E-02 7.7234879E-02 6.7129977E-02 5.8295652E-02 C  7  49
  5.0581228E-02 4.3852296E-02 3.7989169E-02 3.2885615E-02 2.8447494E-02 C  7  50
  2.4591574E-02 2.1244397E-02 1.8341275E-02 1.5825294E-02 1.3646489E-02 C  7  51
  1.1761056E-02 1.0130631E-02 8.7216804E-03 7.5048958E-03 6.4547276E-03 C  7  52
  5.5488953E-03 4.7680144E-03 4.0952205E-03 3.5158619E-03 3.0172190E-03 C  7  53
  2.5882605E-03 2.2194260E-03 1.9024350E-03 1.6301222E-03 1.3962927E-03 C  7  54
  1.1955921E-03 1.0233967E-03 8.7571674E-04 7.4911013E-04 6.4061017E-04 C  7  55
  5.4766092E-04 4.6806122E-04 3.9991716E-04 3.4159934E-04 2.9170679E-04 C  7  56
  2.4903566E-04 1.8136884E-04 1.3195910E-04 9.5920455E-05 6.9662165E-05 C  7  57
  5.0549163E-05 3.6650363E-05 2.6552467E-05 1.9222420E-05 1.3905967E-05 C  7  58
  1.0053022E-05 7.2628318E-06 5.2437294E-06 3.7836430E-06 2.7285059E-06 C  7  59
  1.9664994E-06 1.4165294E-06 1.0198310E-06 7.3385303E-07 5.2780683E-07 C  7  60
  3.7943053E-07 2.7263798E-07 1.9581326E-07 1.4057335E-07 1.0087221E-07 C  7  61
  7.2351689E-08 5.1871968E-08 3.7172338E-08 2.6625738E-08 1.9061828E-08 C  7  62
  1.3639158E-08 9.7530206E-09 6.9690422E-09 4.9753441E-09 3.5480867E-09 C  7  63
  2.5266813E-09 1.7959713E-09 1.2734040E-09 8.9982899E-10 6.3287786E-10 C  7  64
  4.4221882E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  65
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  66
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  67
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  68
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  69
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  70
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  71
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  72
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  73
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  74
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  75
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  76
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  77
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  78
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  79
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  80
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  81
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  82
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  83
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  84
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  85
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  86
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  87
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 C  7  88
  0.0000000E+00                                                         C  7  89
