  Z  CORE VAL  ION
  7.   2   1  0.000000
  
  
  
 THE FOLLOWING DATA IS THE MODIFIED HFS POTENTIAL, RV(R), GIVEN AT THE
 441 POINTS OF THE MESH, IN RYDBERG AUs, IDEALLY = -2Z U
  
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  57
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  58
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  59
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  60
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  61
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  62
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  63
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  64
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  65
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  66
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  67
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  68
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  69
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  70
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  71
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  72
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  73
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  74
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  75
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  76
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  77
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  78
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  79
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  80
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  81
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  82
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  83
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  84
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  85
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  86
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  87
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  88
 -2.0000000E+00                                                         Z  7  89



 THE FOLLOWING DATA IS THE NORMALIZED RADIAL WAVE FUNCTION FOR ORBITAL 100 , OUT TO MESH POINT 241

 100    241          0       -2.8312679E+01 2.0000000E+00 3.4928009E+01

