# begin r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00:
# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  4  0 -8.595075686860353E-02  -0.000000000000000E+00
  4  1 -2.956795924242370E-02   0.000000000000000E+00
  4  2  1.045385224308264E-01  -0.000000000000000E+00
  4  3 -7.822946693114700E-02   0.000000000000000E+00
  4  4  2.765829327781141E-02  -0.000000000000000E+00
  5  0 -6.212985880338129E-02  -0.000000000000000E+00
  5  1  3.002640455402021E-02  -0.000000000000000E+00
  5  2  5.296159947690305E-02  -0.000000000000000E+00
  5  3 -7.567518856337126E-02   0.000000000000000E+00
  5  4  4.586609057205470E-02  -0.000000000000000E+00
  5  5 -1.450413135752681E-02   0.000000000000000E+00
  6  0 -1.887210692320217E-02  -0.000000000000000E+00
  6  1  4.505982209543727E-02  -0.000000000000000E+00
  6  2  5.088988170841497E-03  -0.000000000000000E+00
  6  3 -5.088988170841524E-02   0.000000000000000E+00
  6  4  5.017236508884344E-02  -0.000000000000000E+00
  6  5 -2.614769465781401E-02   0.000000000000000E+00
  6  6  7.548189274688533E-03  -0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  0.000000000000000E+00 -1.000000000000000E+00  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0  0.000000000000000E+00   0.000000000000000E+00
  1  1  0.000000000000000E+00  -3.454941494713355E-01
  2  0 -3.153915652525200E-01  -0.000000000000000E+00
  2  1  0.000000000000000E+00  -0.000000000000000E+00
  2  2 -3.862742020231896E-01  -0.000000000000000E+00
  3  0 -0.000000000000000E+00  -0.000000000000000E+00
  3  1 -0.000000000000000E+00   3.231801841141506E-01
  3  2 -0.000000000000000E+00  -0.000000000000000E+00
  3  3 -0.000000000000000E+00   4.172238236327841E-01
  4  0  3.173566407456129E-01   0.000000000000000E+00
  4  1 -0.000000000000000E+00   0.000000000000000E+00
  4  2  3.345232717786446E-01   0.000000000000000E+00
